insee_c,libgeo,dep,reg,loyer_petit,revenu_menage_proxy,revenu_menage_d1,effort_median_petit,effort_d1_petit,fiable_loyer_petit,loyer_familial,effort_median_familial,effort_d1_familial,fiable_loyer_familial,prix_m2_tous,prix_m2_appart,n_ventes_tous,surface_financable,categorie_surface,fiable_prix,tension_2025,echec_loc_med,echec_loc_d1,echec_achat,echec_social,n_legs_dispo,n_dpe,taux_passoires,cout_median,suroccupation_commune,triple_peine_median,triple_peine_d1
01001,L'Abergement-Clémenciat,01,84,423.817404466,44088.0231214,,11.5355792651,,True,803.119834152,21.859537642,,True,2847.72727273,,16,77.4745779462,Correct,True,4.7,False,,False,False,3,86,8.13953488372,1977.4,0,0,
01002,L'Abergement-de-Varey,01,84,461.704501224,38529.3913043,,14.3798119491,,True,748.31039365,23.306168148,,True,1769.02654867,,3,108.992040951,Confortable,False,4.7,False,,,False,2,24,29.1666666667,2402.65,0,,
01004,Ambérieu-en-Bugey,01,84,497.142579473,32855.5816193,18035.6816922,18.1573743628,33.0772690242,True,798.391861122,29.1600448426,53.1208218074,True,2640.4494382,2823.52941176,175,62.2684839008,Correct,True,4.7,False,True,False,False,3,3235,8.90262751159,1134.8,5.77161465633,0,0
01005,Ambérieux-en-Dombes,01,84,553.835755251,40904.89625,25862.665,16.2475147777,25.6973868045,True,810.09657882,23.7652697771,37.587614988,True,3087.29166667,3096.18055556,34,66.3032203437,Correct,True,4.7,False,True,False,False,3,299,7.02341137124,1170,2.07705293019,0,0
01006,Ambléon,01,84,418.858349014,36362.4705882,,13.8227686591,,True,672.739730478,22.2011228476,,True,1973.68421053,10500,7,92.1961326241,Confortable,False,4.7,False,,,False,2,21,19.0476190476,2091.9,0,,
01007,Ambronay,01,84,461.704501224,40223.2280405,24544.90625,13.7742649822,22.5727242885,True,748.31039365,22.3247241985,36.5848809213,True,2200,10389.6103896,47,91.4937078597,Confortable,True,4.7,False,True,False,False,3,349,12.0343839542,1562.5,2.0978089013,0,0
01008,Ambutrix,01,84,602.270856332,41652.4233129,,17.3513320502,,True,748.31039365,21.5587089768,,True,2890.35087719,,8,72.1151802971,Correct,False,4.7,False,,,False,2,81,11.1111111111,1531.9,1.44526699162,,
01009,Andert-et-Condon,01,84,492.806121901,40580.9426752,,14.5725384207,,True,672.739730478,19.8932706673,,True,1907.54270426,,2,106.459604817,Confortable,False,4.7,False,,,False,2,43,16.2790697674,2391.3,0,,
01010,Anglefort,01,84,568.002539835,39032.1621622,,17.4626003287,,True,712.077972074,21.8920377236,,True,2641.41414141,1965,18,73.9474323219,Correct,True,4.7,False,,False,False,3,155,20,1795.7,4.99254699896,0,
01011,Apremont,01,84,394.030605861,40512.5900621,,11.6713526908,,True,682.30258235,20.2100901859,,True,1601.07256894,1792.45283019,2,126.623985957,Confortable,False,4.7,False,,,False,2,41,12.1951219512,1505.8,2.84023745522,,
01012,Aranc,01,84,461.704501224,37601.6458333,,14.7346050735,,True,651.747098419,20.7995288709,,True,1094.88636364,,4,171.859995247,Confortable,False,4.7,False,,,False,2,40,47.5,2330.65,3.15119753477,,
01013,Arandas,01,84,418.858349014,31184.4179104,,16.1179862411,,True,651.747098419,25.0797215567,,True,894.230769231,894.230769231,1,174.511889347,Confortable,False,4.7,False,,,False,2,20,50,1805.55,0,,
01014,Arbent,01,84,408.292499607,37708.4063189,21521.2189566,12.9931505295,22.7659502241,True,717.16124479,22.8223247217,39.9881389377,True,2175,2175,23,86.7592730749,Correct,True,4.7,False,True,False,False,3,319,15.0470219436,1400.7,1.72391685858,0,0
01015,Arboys en Bugey,01,84,492.806121901,37920.3194888,,15.5949990468,,True,708.815314995,22.4306754126,,True,1914.28571429,,14,99.1293405651,Confortable,True,4.7,False,,False,False,3,74,31.0810810811,2079.75,1.49139222934,0,
01016,Arbigny,01,84,434.053964345,38507.8074866,,13.5262117272,,True,577.846541467,18.0071495891,,True,2227.85087719,,3,86.4967245739,Correct,False,4.7,False,,,False,2,34,5.88235294118,1717.1,0,,
01017,Argis,01,84,392.025323279,31452.9123711,,14.9566559174,,True,605.570959534,23.1039066547,,True,1814.1025641,,12,86.7632907593,Correct,True,4.7,False,,False,False,3,74,52.7027027027,2292.75,2.38636363636,0,
01019,Armix,01,84,492.806121901,,,,,True,651.747098419,,,True,1396.82539683,,1,,,False,4.7,,,,False,1,5,20,1164,0,,
01021,Ars-sur-Formans,01,84,512.498259865,44028.1699115,,13.9682824218,,True,791.609913078,21.5755480549,,True,2953.25396825,,14,74.6048094371,Correct,True,4.7,False,,False,False,3,177,3.38983050847,1359.5,2.5046596225,0,
01022,Artemare,01,84,392.025323279,32072.4738676,,14.6677300254,,True,651.747098419,24.3852881861,,True,2386.96827429,3071.42857143,18,67.2392407699,Correct,True,4.7,False,,False,False,3,270,17.4074074074,1422.5,0.863017175734,0,
01023,Asnières-sur-Saône,01,84,421.063482089,,,,,True,668.549840186,,,True,884.662576687,,3,,,False,4.7,,,,False,1,9,55.5555555556,1842.5,0,,
01024,Attignat,01,84,458.311442825,39600.4964438,24770.5476529,13.8880514332,22.2027279774,True,728.095057575,22.0632099986,35.2722952005,True,2205.88235294,1798.35507657,41,89.8370064286,Correct,True,4.7,False,True,False,False,3,430,9.53488372093,1221.3,1.00588653885,0,0
01025,Bâgé-Dommartin,01,84,434.053964345,42219.5872236,27337.522113,12.3370404939,19.0531078516,True,668.549840186,19.0020760737,29.3464713044,True,2467.17817562,714.285714286,54,85.6348331801,Correct,True,4.7,False,False,False,False,3,288,12.5,1664.25,1.30088968589,0,0
01026,Bâgé-le-Châtel,01,84,434.053964345,34616.5714286,,15.0466882108,,True,658.724460914,22.8349983975,,True,2165.59036658,2205.19265846,24,79.9916634617,Correct,True,4.7,False,,False,False,3,156,11.5384615385,1535.85,2.25975570012,0,
01027,Balan,01,84,602.270856332,44138.363764,,16.3740783746,,True,940.325999374,25.5648624693,,True,3025.3411306,3215.38461538,18,73.0094144825,Correct,True,4.7,False,,False,False,3,296,2.7027027027,1239,3.31774729985,0,
01028,Baneins,01,84,423.817404466,43575.1189427,,11.6713596589,,True,803.119834152,22.1168369557,,True,2754.38596491,,5,79.1682002747,Correct,False,4.7,False,,,False,2,70,7.14285714286,1697.7,0,,
01029,Beaupont,01,84,401.102227417,34144.4160584,,14.096673145,,True,501.6506947,17.6304328242,,True,1626.06382979,,10,105.079763841,Confortable,True,4.7,False,,False,False,3,95,17.8947368421,1726.4,0,0,
01030,Beauregard,01,84,539.667587614,37758.4615385,,17.1511517882,,True,778.697361574,24.7477464869,,True,2186.45833333,1936.14864865,14,86.4191664348,Correct,True,4.7,False,,False,False,3,167,7.78443113772,1277.7,2.9964865202,0,
01031,Bellignat,01,84,425.775113889,31325.2028398,17087.8600406,16.310513272,29.9001826709,True,682.30258235,26.1375194602,47.914899635,True,1815.2173913,1622.22222222,29,86.3579324014,Correct,True,4.7,False,True,False,False,3,739,3.38294993234,941,15.1578619592,0,0
01032,Béligneux,01,84,602.270856332,39042.2939189,24481.8547297,18.5113361704,29.5208445429,True,940.325999374,28.9017648807,46.0909196507,True,2817.14285714,3047.76785714,25,69.3527112302,Correct,True,4.7,False,True,False,False,3,524,3.62595419847,1328.75,3.12178240001,0,0
01033,Valserhône,01,84,785.861892008,36903.1446906,17210.0872422,25.5543065047,54.7954381137,True,1198.322505,38.9665167579,83.5548934627,True,3020.26143791,2676.47058824,200,61.1442786931,Correct,True,4.7,True,True,False,False,3,3668,11.53217012,1166.85,6.12502462392,0,0
01034,Belley,01,84,507.834536093,31508.4350602,17122.8558802,19.3408984657,35.5899417466,True,721.929866915,27.4947276386,50.594120885,True,2253.08641975,1888.88888889,113,69.9819389903,Correct,True,4.7,False,True,False,False,3,2201,6.90595184007,1082,5.47932070627,0,0
01035,Belleydoux,01,84,602.736823339,40611.1448276,,17.8099925791,,True,717.16124479,21.191067068,,True,2800,,7,72.5812074601,Correct,False,4.7,False,,,False,2,40,35,3100.35,0,,
01036,Valromey-sur-Séran,01,84,392.025323279,36659.4628378,,12.8324408357,,True,651.747098419,21.3340965077,,True,1967.94181034,1988.91625616,36,93.2203720931,Confortable,True,4.7,False,,False,False,3,180,38.3333333333,2442.3,0.773532580046,0,
01037,Bénonces,01,84,418.858349014,33743.5,,14.8956100824,,True,658.670909393,23.4239213855,,True,1457.44680851,,3,115.860234033,Confortable,False,4.7,False,,,False,2,45,37.7777777778,2191,0,,
01038,Bény,01,84,458.311442825,39585.6697819,,13.8932531499,,True,668.549840186,20.2664199606,,True,2263.63636364,,10,87.5121438783,Correct,True,4.7,False,,False,False,3,69,5.79710144928,1547.1,1.48987697375,0,
01040,Béréziat,01,84,434.053964345,40437.0051282,,12.8808935173,,True,577.846541467,17.148051582,,True,2117.07317073,6031.26608338,22,95.5828778752,Confortable,True,4.7,False,,False,False,3,50,12,1979.3,0,0,
01041,Bettant,01,84,515.030215539,38862.7380952,,15.9030549297,,True,748.31039365,23.1062584983,,True,2445.11986301,1961.9047619,20,79.5371874956,Correct,True,4.7,False,,False,False,3,140,17.1428571429,1889.2,2.9809554944,0,
01042,Bey,01,84,421.063482089,41723.1746032,,12.1102045401,,True,705.670245967,20.2957781428,,True,2818.53796266,,2,74.0782039848,Correct,False,4.7,False,,,False,2,28,0,1283,0,,
01043,Beynost,01,84,575.795454398,48529.2582781,28732.4289353,14.237896267,24.0478988683,True,991.847387286,24.5257584182,41.4241645711,True,3773.21428571,3500,77,64.3619466955,Correct,True,4.7,False,True,False,False,3,616,13.3116883117,1481.85,2.34114525873,0,0
01044,Billiat,01,84,602.736823339,43942.173913,,16.4599090941,,True,893.452873832,24.3989623891,,True,2689.18918919,2065.65340909,11,81.77059722,Correct,True,4.7,False,,False,False,3,124,14.5161290323,1280.2,5.95959056486,0,
01045,Birieux,01,84,529.03714575,47985.754717,,13.2298549568,,True,810.09657882,20.2584267001,,True,2117.62360447,2202.27272727,4,113.396734488,Confortable,False,4.7,False,,,False,2,19,15.7894736842,2085,6.07637433612,,
01046,Biziat,01,84,457.121786939,39967.3220339,,13.7248661259,,True,668.549840186,20.0728937391,,True,1755.72519084,,19,113.916202051,Confortable,True,4.7,False,,False,False,3,92,15.2173913043,1953.25,0,0,
01047,Blyes,01,84,617.673134363,46227.0309917,,16.0340767152,,True,796.779626258,20.6834730892,,True,3031.57894737,,15,76.3069519775,Correct,True,4.7,False,,False,False,3,187,2.67379679144,836,0,0,
01049,La Boisse,01,84,575.795454398,46227.4308053,27515.505864,14.946851539,25.1114607412,True,853.297781091,22.1504271267,37.2138292631,True,3484.61538462,3040.54054054,35,66.3868244777,Correct,True,4.7,False,True,False,False,3,384,10.15625,1310.5,2.74221713929,0,0
01050,Boissey,01,84,434.053964345,39542.3529412,,13.1723258347,,True,577.846541467,17.5360290469,,True,2269.36702128,,6,87.1956373695,Correct,False,4.7,False,,,False,2,23,21.7391304348,1773.2,3.31413628558,,
01051,Bolozon,01,84,458.311442825,,,,,True,619.881518191,,,True,1500,,1,,,False,4.7,,,,False,1,20,25,1551.75,0,,
01052,Bouligneux,01,84,553.835755251,46422.7857143,,14.316308168,,True,810.09657882,20.9404903137,,True,3317.03846154,,5,70.0354104672,Correct,False,4.7,False,,,False,2,31,3.22580645161,1934.9,0,,
01053,Bourg-en-Bresse,01,84,587.140352493,28681.3851086,14816.1138315,24.5653555546,47.5541988274,True,764.489408446,31.9854597907,61.9182128708,True,2274.65363937,2262.53132832,386,63.0989064188,Correct,True,4.7,False,True,False,False,3,13146,6.45823824738,981,11.5844492023,0,0
01054,Bourg-Saint-Christophe,01,84,602.270856332,47817.1518325,,15.1143470471,,True,853.297781091,21.4140177336,,True,3204.53114437,1500,16,74.6717269266,Correct,True,4.7,False,,False,False,3,147,10.8843537415,1680.1,0.824709550881,0,
01056,Boyeux-Saint-Jérôme,01,84,427.359041799,33700.6933333,,15.2172195713,,True,605.570959534,21.5629139808,,True,1586.66666667,,3,106.289441631,Confortable,False,4.7,False,,,False,2,33,36.3636363636,2442.2,6.34620102984,,
01057,Boz,01,84,421.063482089,38332.0588235,,13.1815559616,,True,658.724460914,20.6216252755,,True,2221.73913043,,11,86.3388121998,Correct,True,4.7,False,,False,False,3,55,34.5454545455,2174.1,2.3845429854,0,
01058,Brégnier-Cordon,01,84,517.748899713,37083.9360465,,16.7538493993,,True,708.815314995,22.9365722378,,True,1485.71428571,1485.71428571,5,124.907211181,Confortable,False,4.7,False,,,False,2,107,13.0841121495,1799.7,2.95014661575,,
01060,Brénod,01,84,394.030605861,38816.0696721,,12.1814684235,,True,605.570959534,18.7212450302,,True,1235.13291313,1393.44262295,6,157.266003969,Confortable,False,4.7,False,,,False,2,67,38.8059701493,2925.9,3.62840955209,,
01061,Brens,01,84,578.77300245,43058.1913043,,16.1299762461,,True,786.119862496,21.9085801428,,True,2506.28571429,4012.93103448,17,85.9730218762,Correct,True,4.7,False,,False,False,3,86,13.9534883721,1744.85,0,0,
01062,Bressolles,01,84,575.795454398,49267.5882353,,14.0245254543,,True,853.297781091,20.7835896578,,True,3111.50442478,,9,79.2369714636,Correct,False,4.7,False,,,False,2,106,6.60377358491,1446.1,0,,
01063,Brion,01,84,427.359041799,40650.3252033,,12.6156641452,,True,619.881518191,18.2989390149,,True,1650.11895321,,8,123.278050943,Confortable,False,4.7,False,,,False,2,72,11.1111111111,1613.55,0,,
01064,Briord,01,84,418.858349014,37902.9787234,,13.2609635376,,True,708.815314995,22.4409375369,,True,2062.5,1611.58119658,19,91.9636864905,Confortable,True,4.7,False,,False,False,3,174,16.091954023,1485.65,1.09381044829,0,
01065,Buellas,01,84,423.817404466,44516.7556675,,11.4244822592,,True,742.832688801,20.0239036559,,True,2470.58823529,,32,90.1695961681,Confortable,True,4.7,False,,False,False,3,225,7.11111111111,1423,0,0,
01066,La Burbanche,01,84,492.806121901,,,,,True,672.739730478,,,True,1246.14701493,,6,,,False,4.7,,,,False,1,19,36.8421052632,1607,13.5670731707,,
01067,Ceignes,01,84,530.750215827,41691.4563107,,15.2765174295,,True,605.570959534,17.4300735869,,True,2717.64176418,,2,76.7700538592,Correct,False,4.7,False,,,False,2,29,13.7931034483,2106.9,0,,
01068,Cerdon,01,84,427.359041799,32871.4011976,,15.6011253392,,True,605.570959534,22.1069113261,,True,1278.45528455,,10,128.667736822,Confortable,True,4.7,False,,False,False,3,108,22.2222222222,1798.4,1.54497999276,0,
01069,Certines,01,84,423.817404466,40904.3785395,,12.4334094177,,True,742.832688801,21.7922691504,,True,2461.55462185,,6,83.1567120561,Correct,False,4.7,False,,,False,2,171,1.75438596491,1200,1.43772209766,,
01071,Cessy,01,84,856.919495542,69320.0254972,27245.6705762,14.8341462265,37.7419007461,True,1528.51503142,26.4601466106,67.3214495703,True,5250.65577543,4456.93411946,70,66.0666299364,Correct,True,4.7,False,True,False,False,3,994,4.32595573441,1053.9,4.71015857385,0,0
01072,Ceyzériat,01,84,530.750215827,39955.3965517,24017.4224138,15.9402812626,26.518260287,True,692.921118458,20.8108394337,34.6209234207,True,2477.06422018,3202.5,55,80.7188873578,Correct,True,4.7,False,True,False,False,3,537,11.3594040968,1278,2.44532302105,0,0
01073,Ceyzérieu,01,84,553.527299524,39980.0875274,,16.6140896759,,True,712.077972074,21.3729788836,,True,2443.94409938,,18,81.8633401069,Correct,True,4.7,False,,False,False,3,116,16.3793103448,1861.25,3.97690265572,0,
01074,Chalamont,01,84,480.06860915,37647.7201166,21363.335277,15.3019181293,26.9659359604,True,765.985316955,24.4153531077,43.0261646147,True,2529.41176471,2365.00677507,53,74.4828240481,Correct,True,4.7,False,True,False,False,3,431,9.04872389791,1326.4,3.68284916566,0,0
01075,Chaleins,01,84,512.498259865,42465.4792793,,14.4823023848,,True,714.503835499,20.1906258248,,True,2442.85714286,2418.81477545,34,86.9911250195,Correct,True,4.7,False,,False,False,3,201,6.46766169154,1433.5,0.851913871151,0,
01076,Chaley,01,84,392.025323279,28395.5,,16.5670753442,,True,605.570959534,25.5915603332,,True,1624.58333333,,5,87.4670571075,Correct,False,4.7,False,,,False,2,40,27.5,2177.35,0,,
01077,Challes-la-Montagne,01,84,530.750215827,35217.3043478,,18.0848668229,,True,619.881518191,21.1219409209,,True,1944.67092092,,2,90.6247826822,Confortable,False,4.7,False,,,False,2,31,41.935483871,1964.3,0,,
01078,Challex,01,84,836.244789808,71001.2727273,,14.1334614046,,True,1241.14216146,20.976674594,,True,4830.50847458,6111.11111111,15,73.5546736786,Correct,True,4.7,False,,False,False,3,209,17.7033492823,1582.6,1.59381699953,0,
01079,Champagne-en-Valromey,01,84,392.025323279,34739.0357143,,13.5418378277,,True,651.747098419,22.513478052,,True,2921.44906743,,4,59.5054066843,Contraint,False,4.7,False,,,False,2,101,29.702970297,2046.3,0,,
01080,Champdor-Corcelles,01,84,392.025323279,36711.1316726,,12.8143799034,,True,651.747098419,21.3040699774,,True,1345.08547009,,6,136.579298843,Confortable,False,4.7,False,,,False,2,85,29.4117647059,2353,0,,
01081,Champfromier,01,84,602.736823339,42342.3602484,,17.0818108335,,True,1047.69701712,29.6921667372,,True,2807.69230769,,9,75.4679474599,Correct,False,4.7,False,,,False,2,139,12.9496402878,1632.4,11.6862009048,,
01082,Chanay,01,84,568.002539835,43557.6372093,,15.6483016865,,True,893.452873832,24.6143619647,,True,1716.41791045,,9,126.992555728,Confortable,False,4.7,False,,,False,2,51,43.137254902,2346,4.19071370001,,
01083,Chaneins,01,84,423.817404466,43266.171875,,11.7547003425,,True,803.119834152,22.2747647693,,True,2500,1472.22222222,21,86.6054953983,Correct,True,4.7,False,,False,False,3,122,10.6557377049,1570,1.22549019608,0,
01084,Chanoz-Châtenay,01,84,458.311442825,41264.7368421,,13.3279350234,,True,664.107175518,19.3125819188,,True,2550,,15,80.9796484662,Correct,True,4.7,False,,False,False,3,59,16.9491525424,1593.8,0,0,
01085,La Chapelle-du-Châtelard,01,84,529.03714575,45196.9271523,,14.046188865,,True,803.119834152,21.3232151322,,True,2796.20846175,,6,80.8865572674,Correct,False,4.7,False,,,False,2,22,27.2727272727,2254.7,0,,
01087,Charix,01,84,602.736823339,44337.1186441,,16.3132880558,,True,936.093644341,25.3357098423,,True,1964.28571429,,5,112.953526794,Confortable,False,4.7,False,,,False,2,33,39.3939393939,2808,7.94667754922,,
01088,Charnoz-sur-Ain,01,84,602.270856332,47704.7052632,,15.1499736475,,True,940.325999374,23.6536667195,,True,3330.83900227,3454.34782609,14,71.6711814164,Correct,True,4.7,False,,False,False,3,108,3.7037037037,1112.3,0,0,
01089,Château-Gaillard,01,84,461.704501224,42859.2287946,26461.359375,12.9270968482,20.9379039685,True,796.779626258,22.3087437268,36.1332741058,True,2512.05762606,,20,85.3791333394,Correct,True,4.7,False,True,False,False,3,213,9.3896713615,1323,2.89746345837,0,0
01090,Châtenay,01,84,529.03714575,38637.8571429,,16.4306362165,,True,703.968438915,21.8635863675,,True,2740.38461538,,5,70.5567388646,Correct,False,4.7,False,,,False,2,37,10.8108108108,1912,3.21875530774,,
01092,Châtillon-la-Palud,01,84,461.704501224,41606.0385757,,13.3164660813,,True,796.779626258,22.9806918477,,True,2860.61026352,4338.23529412,24,72.7837893679,Correct,True,4.7,False,,False,False,3,176,18.1818181818,1722.75,0.753050499147,0,
01093,Châtillon-sur-Chalaronne,01,84,497.089013699,34221.3652618,20331.2592593,17.4308304732,29.3393935335,True,780.946725327,27.3845319502,46.0933608903,True,2851.06382979,2902.09441489,83,60.0658156804,Correct,True,4.7,False,True,False,False,3,1120,9.91071428571,1221.65,2.98342857424,0,0
01094,Chavannes-sur-Reyssouze,01,84,434.053964345,37704.61875,,13.8143488645,,True,577.846541467,18.3907402528,,True,2100,6980.06756757,9,89.8487928972,Correct,False,4.7,False,,,False,2,78,23.0769230769,1990.5,1.49769260522,,
01095,Nivigne et Suran,01,84,401.102227417,36205.5801749,,13.2941571596,,True,571.551646806,18.9435433117,,True,1909.09090909,1261.36363636,16,94.9042998172,Confortable,True,4.7,False,,False,False,3,107,16.8224299065,1574.3,2.70929466051,0,
01096,Chaveyriat,01,84,458.311442825,41130.0878049,,13.3715671603,,True,664.107175518,19.3758062079,,True,1781.18932039,2187.37864078,14,115.55441463,Confortable,True,4.7,False,,False,False,3,73,12.3287671233,1664,1.24904504735,0,
01098,Chazey-Bons,01,84,392.025323279,37011.1304348,,12.7105112005,,True,672.739730478,21.8120243043,,True,2577.5462963,4873.03809524,18,71.8559711269,Correct,True,4.7,False,,False,False,3,172,16.2790697674,1422.75,2.40775153123,0,
01099,Chazey-sur-Ain,01,84,602.270856332,43066.5311573,,16.7815936918,,True,796.779626258,22.2013597524,,True,2893.6956885,2752.74603175,30,74.4773169876,Correct,True,4.7,False,,False,False,3,178,8.98876404494,1491,1.43163774812,0,
01100,Cheignieu-la-Balme,01,84,392.025323279,28215,,16.6730600012,,True,672.739730478,28.6120034228,,True,1902.25903614,,8,74.2245180942,Correct,False,4.7,False,,,False,2,25,20,1947,0,,
01101,Chevillard,01,84,394.030605861,41823.0985915,,11.3056359514,,True,682.30258235,19.5768158361,,True,1725.27472527,,1,121.309533708,Confortable,False,4.7,False,,,False,2,13,53.8461538462,2462.5,7.34299516908,,
01102,Chevroux,01,84,434.053964345,39946.4285714,,13.0390819866,,True,668.549840186,20.0833926064,,True,2104.74137931,3020.40816327,13,94.9765096673,Confortable,True,4.7,False,,False,False,3,105,8.57142857143,1480,1.4273422117,0,
01103,Chevry,01,84,872.797038782,72430.5019506,,14.4601572312,,True,1476.2775681,24.4583847138,,True,5102.04081633,5721.06177606,33,71.0418977102,Correct,True,4.7,False,,False,False,3,335,6.5671641791,1210.2,5.12891210584,0,
01104,Chézery-Forens,01,84,602.736823339,38424.2602041,,18.8236334067,,True,1047.69701712,32.7198601578,,True,2016.18122977,4054.05405405,5,95.3702530919,Confortable,False,4.7,False,,,False,2,78,21.7948717949,1623,0,,
01105,Civrieux,01,84,553.835755251,50109.4615385,,13.2630223095,,True,934.171410572,22.3711382695,,True,3232.67326733,3528.30188679,23,77.5702001275,Correct,True,4.7,False,,False,False,3,223,5.38116591928,1139.4,2.85580492836,0,
01106,Cize,01,84,458.311442825,36503.8933333,,15.066166405,,True,608.78338025,20.0126613791,,True,1760,,4,103.791910641,Confortable,False,4.7,False,,,False,2,18,16.6666666667,2194.95,0,,
01107,Cleyzieu,01,84,418.858349014,33205.46875,,15.1369650162,,True,651.747098419,23.5532443162,,True,861.111111111,,1,192.968939501,Confortable,False,4.7,False,,,False,2,10,40,1739.1,0,,
01108,Coligny,01,84,401.102227417,35612.1389892,,13.5156911818,,True,617.170268715,20.796400988,,True,1763.63636364,2551.63476382,23,101.047599936,Confortable,True,4.7,False,,False,False,3,265,20.3773584906,1652.8,0.811008174001,0,
01109,Collonges,01,84,734.357122358,57302.8796069,22670.3882064,15.378433909,38.8713478926,True,1268.69731046,26.5682419975,67.1553022687,True,4634.69202899,4282.60869565,40,61.8717719017,Correct,True,4.7,False,True,False,False,3,438,8.44748858447,1420.55,1.60371102408,0,0
01110,Colomieu,01,84,418.858349014,32405.7971014,,15.5104970028,,True,672.739730478,24.9118290177,,True,1641.17647059,,1,98.8107997428,Confortable,False,4.7,False,,,False,2,26,7.69230769231,1729.3,0,,
01111,Conand,01,84,418.858349014,32559.9516129,,15.4370628308,,True,651.747098419,24.0201990286,,True,1034.48275862,,1,157.506137597,Confortable,False,4.7,False,,,False,2,17,58.8235294118,2121,0,,
